Generating SQLite file nsys_reports/rank_9.sqlite from nsys_reports/rank_9.nsys-rep
Processing [nsys_reports/rank_9.sqlite] with [/opt/nvidia/nsight-systems/2025.5.1/host-linux-x64/reports/mpi_event_trace.py]... 
Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
99247260,239938427,140691167,MPI_Init,31168,31168,,9,,,,,
244199101,557358131,313159030,MPI_File_open,31168,31168,,9,,,,,
557591069,1664180710,1106589641,MPI_File_read_at_all,31168,31168,,9,,,,,
1664186100,2559715827,895529727,MPI_File_close,31168,31168,,9,,,,,
5964366583,5964407261,40678,MPI_Irecv,31168,31168,201,9,10,,0.000,,
5964430689,5964450347,19658,MPI_Isend,31168,31168,201,9,10,,0.000,,
5964488588,5973510633,9022045,MPI_Waitall,31168,31168,,9,,,,,
5973511215,5973516315,5100,MPI_Irecv,31168,31168,101,9,10,,134.217,,
5973516757,5973699564,182807,MPI_Isend,31168,31168,101,9,10,,134.217,,
5973700430,6037650971,63950541,MPI_Waitall,31168,31168,,9,,,,,
6215749278,6215862913,113635,MPI_Irecv,31168,31168,201,9,8,,0.000,,
6215864015,6215872596,8581,MPI_Isend,31168,31168,201,9,8,,0.000,,
6215874285,6215876895,2610,MPI_Waitall,31168,31168,,9,,,,,
6215877196,6215879831,2635,MPI_Irecv,31168,31168,101,9,8,,134.217,,
6215880096,6215900267,20171,MPI_Isend,31168,31168,101,9,8,,134.217,,
6215900692,6308820950,92920258,MPI_Waitall,31168,31168,,9,,,,,
6437953295,6438065889,112594,MPI_Irecv,31168,31168,201,9,10,,0.000,,
6438066831,6438075654,8823,MPI_Isend,31168,31168,201,9,10,,0.000,,
6438077102,6438083496,6394,MPI_Waitall,31168,31168,,9,,,,,
6438083902,6438089535,5633,MPI_Irecv,31168,31168,101,9,10,,134.217,,
6438090002,6438104819,14817,MPI_Isend,31168,31168,101,9,10,,134.217,,
6438105351,6496227242,58121891,MPI_Waitall,31168,31168,,9,,,,,
6651945979,6652766814,820835,MPI_Irecv,31168,31168,201,9,8,,0.000,,
6652772749,6652777836,5087,MPI_Isend,31168,31168,201,9,8,,0.000,,
6652779415,6675924479,23145064,MPI_Waitall,31168,31168,,9,,,,,
6675925755,6675934314,8559,MPI_Irecv,31168,31168,101,9,8,,134.217,,
6675934756,6675945559,10803,MPI_Isend,31168,31168,101,9,8,,134.217,,
6675946413,6746688075,70741662,MPI_Waitall,31168,31168,,9,,,,,
6854264858,6854716986,452128,MPI_Irecv,31168,31168,201,9,10,,0.000,,
6854717807,6854727982,10175,MPI_Isend,31168,31168,201,9,10,,0.000,,
6854729608,6854736809,7201,MPI_Waitall,31168,31168,,9,,,,,
6854737438,6854740322,2884,MPI_Irecv,31168,31168,201,9,8,,0.000,,
6854740576,6854742096,1520,MPI_Isend,31168,31168,201,9,8,,0.000,,
6854742361,7017564661,162822300,MPI_Waitall,31168,31168,,9,,,,,
7017565919,7017569106,3187,MPI_Irecv,31168,31168,201,9,10,,0.000,,
7017569626,7017571893,2267,MPI_Isend,31168,31168,201,9,10,,0.000,,
7017574716,7017575585,869,MPI_Waitall,31168,31168,,9,,,,,
7017575975,7017578376,2401,MPI_Irecv,31168,31168,201,9,8,,0.000,,
7017578608,7017581053,2445,MPI_Isend,31168,31168,201,9,8,,0.000,,
7017581492,7043333224,25751732,MPI_Waitall,31168,31168,,9,,,,,
7043334126,7043336954,2828,MPI_Irecv,31168,31168,201,9,10,,0.000,,
7043337412,7043341669,4257,MPI_Isend,31168,31168,201,9,10,,0.000,,
7043342270,7043342877,607,MPI_Waitall,31168,31168,,9,,,,,
7043343154,7043344435,1281,MPI_Irecv,31168,31168,201,9,8,,0.000,,
7043344700,7043346876,2176,MPI_Isend,31168,31168,201,9,8,,0.000,,
7043347206,7752197439,708850233,MPI_Waitall,31168,31168,,9,,,,,
7752201016,7752214841,13825,MPI_Irecv,31168,31168,101,9,8,,134.217,,
7752215281,7752237733,22452,MPI_Isend,31168,31168,101,9,8,,134.217,,
7752238823,7796743160,44504337,MPI_Waitall,31168,31168,,9,,,,,
7890572339,7890876426,304087,MPI_Irecv,31168,31168,201,9,10,,0.000,,
7890877291,7890882238,4947,MPI_Isend,31168,31168,201,9,10,,0.000,,
7890883778,7890887723,3945,MPI_Waitall,31168,31168,,9,,,,,
7890888187,7890891019,2832,MPI_Irecv,31168,31168,101,9,10,,134.217,,
7890891259,7890908203,16944,MPI_Isend,31168,31168,101,9,10,,134.217,,
7890908749,7940265273,49356524,MPI_Waitall,31168,31168,,9,,,,,
8065768823,8066176488,407665,MPI_Irecv,31168,31168,201,9,8,,0.000,,
8066177629,8066181377,3748,MPI_Isend,31168,31168,201,9,8,,0.000,,
8066182872,8066185282,2410,MPI_Waitall,31168,31168,,9,,,,,
8066185710,8066190245,4535,MPI_Irecv,31168,31168,201,9,10,,0.000,,
8066190495,8066191749,1254,MPI_Isend,31168,31168,201,9,10,,0.000,,
8066192015,8066197278,5263,MPI_Waitall,31168,31168,,9,,,,,
8066197599,8066198996,1397,MPI_Irecv,31168,31168,201,9,8,,0.000,,
8066199218,8066199931,713,MPI_Isend,31168,31168,201,9,8,,0.000,,
8066200189,8066269514,69325,MPI_Waitall,31168,31168,,9,,,,,
8066269937,8066271143,1206,MPI_Irecv,31168,31168,201,9,10,,0.000,,
8066271473,8066272479,1006,MPI_Isend,31168,31168,201,9,10,,0.000,,
8066274020,8066274472,452,MPI_Waitall,31168,31168,,9,,,,,
8066274748,8066275934,1186,MPI_Irecv,31168,31168,201,9,8,,0.000,,
8066276159,8066277967,1808,MPI_Isend,31168,31168,201,9,8,,0.000,,
8066278333,8066293628,15295,MPI_Waitall,31168,31168,,9,,,,,
8066293846,8066294625,779,MPI_Irecv,31168,31168,201,9,10,,0.000,,
8066294889,8066296686,1797,MPI_Isend,31168,31168,201,9,10,,0.000,,
8066297085,8066297608,523,MPI_Waitall,31168,31168,,9,,,,,
8066297907,8066298921,1014,MPI_Irecv,31168,31168,201,9,8,,0.000,,
8066299153,8066301066,1913,MPI_Isend,31168,31168,201,9,8,,0.000,,
8066301428,8066343779,42351,MPI_Waitall,31168,31168,,9,,,,,
8066343989,8066344985,996,MPI_Irecv,31168,31168,201,9,10,,0.000,,
8066346370,8066347310,940,MPI_Isend,31168,31168,201,9,10,,0.000,,
8066347552,8066348391,839,MPI_Waitall,31168,31168,,9,,,,,
8066348597,8066350634,2037,MPI_Irecv,31168,31168,201,9,8,,0.000,,
8066351011,8066351816,805,MPI_Isend,31168,31168,201,9,8,,0.000,,
8066352080,8066392042,39962,MPI_Waitall,31168,31168,,9,,,,,
8066392246,8066394199,1953,MPI_Irecv,31168,31168,201,9,10,,0.000,,
8066394537,8066395291,754,MPI_Isend,31168,31168,201,9,10,,0.000,,
8066395541,8066395857,316,MPI_Waitall,31168,31168,,9,,,,,
8066396042,8066398129,2087,MPI_Irecv,31168,31168,201,9,8,,0.000,,
8066398486,8066399192,706,MPI_Isend,31168,31168,201,9,8,,0.000,,
8066399435,8066431031,31596,MPI_Waitall,31168,31168,,9,,,,,
8066432303,8066433457,1154,MPI_Irecv,31168,31168,201,9,10,,0.000,,
8066433685,8066434352,667,MPI_Isend,31168,31168,201,9,10,,0.000,,
8066434603,8066466658,32055,MPI_Waitall,31168,31168,,9,,,,,
8066466878,8066468511,1633,MPI_Irecv,31168,31168,201,9,8,,0.000,,
8066468738,8066469570,832,MPI_Isend,31168,31168,201,9,8,,0.000,,
8066471076,8066493350,22274,MPI_Waitall,31168,31168,,9,,,,,
8066493555,8066494294,739,MPI_Irecv,31168,31168,201,9,10,,0.000,,
8066494522,8066495206,684,MPI_Isend,31168,31168,201,9,10,,0.000,,
8066496536,8066496908,372,MPI_Waitall,31168,31168,,9,,,,,
8066497104,8066498038,934,MPI_Irecv,31168,31168,201,9,8,,0.000,,
8066498268,8066499973,1705,MPI_Isend,31168,31168,201,9,8,,0.000,,
